doc_id	court_code	judgment_code	justice_kind	category_code	cause_num	adjudication_date	receipt_date	judge	doc_url	status	date_publ
133056758	9921	5	4	13788	260/7098/24	2025-12-31 00:00:00+02	2026-01-01 00:00:00+02	Мельник-Томенко Ж.М.	https://od.reyestr.court.gov.ua/files/66/0af5b5ecd5574a44ab9f7750b5ca1216.rtf	1	2026-01-01 00:00:00+02
133056815	9921	5	4	40117	420/40205/24	2025-12-31 00:00:00+02	2026-01-01 00:00:00+02	Ханова Р.Ф.	https://od.reyestr.court.gov.ua/files/66/99fef522dd3b70f71fc2aac425f640bb.rtf	1	2026-01-01 00:00:00+02
133059647	1111	4	1	40394	405/7345/25	2025-12-01 00:00:00+02	2026-01-01 00:00:00+02	Драний В. В.	https://od.reyestr.court.gov.ua/files/66/d92659d086a4b0697163381b5670d027.rtf	1	2026-01-02 00:00:00+02
133056563	4857	2	4	40149	380/7902/25	2025-12-30 00:00:00+02	2026-01-01 00:00:00+02	Пліш Михайло Антонович	https://od.reyestr.court.gov.ua/files/66/835a7a48882983be00f32d5a2aae5d80.rtf	1	2026-01-02 00:00:00+02
133053008	1570	3	4	40148	420/35173/25	2025-12-31 00:00:00+02	2026-01-01 00:00:00+02	Вовченко О.А.	https://od.reyestr.court.gov.ua/files/66/91eac151738ea49ec64c914f5c54bf85.rtf	1	2026-01-02 00:00:00+02
133054950	2270	5	4	13781	560/21816/25	2025-12-31 00:00:00+02	2026-01-01 00:00:00+02	Божук Д.А.	https://od.reyestr.court.gov.ua/files/66/6ac1a03acff64b9965c7adb2b743d499.rtf	1	2026-01-02 00:00:00+02
133063165	4857	5	4	40151	140/13052/25	2026-01-01 00:00:00+02	2026-01-01 00:00:00+02	Гінда Оксана Миколаївна	https://od.reyestr.court.gov.ua/files/66/946c7269990dc2b7b9a6b48b56bceeda.rtf	1	2026-01-02 00:00:00+02
133059487	2014	5	2	40643	621/4232/25	2025-12-26 00:00:00+02	2026-01-01 00:00:00+02	Філіп'єва В. В.	https://od.reyestr.court.gov.ua/files/66/e0d97c232a2e89f44462e4fa3da4f6c2.rtf	1	2026-01-02 00:00:00+02
133059855	1914	3	1	40346	607/16682/25	2025-12-05 00:00:00+02	2026-01-01 00:00:00+02	Марціцка І. Б.	https://od.reyestr.court.gov.ua/files/66/e8c4bc42e95aeef1ca8d5881b81f5f9d.rtf	1	2026-01-02 00:00:00+02
133054101	0311	5	2	12747	164/2721/25	2025-12-31 00:00:00+02	2026-01-01 00:00:00+02	Ониско Р. В.	https://od.reyestr.court.gov.ua/files/66/3f0ce808337bd1ffdb292e3cdd2ee64b.rtf	1	2026-01-02 00:00:00+02
133056106	1607	3	1	40376	530/1483/25	2025-12-29 00:00:00+02	2026-01-01 00:00:00+02	Ситник О. В.	https://od.reyestr.court.gov.ua/files/66/9726b87372042cd768d82067d4df7ae8.rtf	1	2026-01-02 00:00:00+02
133062344	1570	5	4	40051	420/43293/25	2026-01-01 00:00:00+02	2026-01-01 00:00:00+02	Тарасишина О.М.	https://od.reyestr.court.gov.ua/files/66/917a08e4bd03e2a4472bfbac984f0569.rtf	1	2026-01-02 00:00:00+02
133051956	0570	5	4	40050	200/8862/25	2025-12-31 00:00:00+02	2026-01-01 00:00:00+02	Чучко В.М.	https://od.reyestr.court.gov.ua/files/66/1e8606f2d79750c5880c2fd7a85357fc.rtf	1	2026-01-02 00:00:00+02
133055652	4855	5	4	40149	320/41093/23	2025-12-31 00:00:00+02	2026-01-01 00:00:00+02	Кучма Андрій Юрійович	https://od.reyestr.court.gov.ua/files/66/6fc2def131af5ce3326f0a78015b8965.rtf	1	2026-01-02 00:00:00+02
133062692	2270	5	4	40149	560/17255/25	2026-01-01 00:00:00+02	2026-01-01 00:00:00+02	Фелонюк Д.Л.	https://od.reyestr.court.gov.ua/files/66/97524b3982837d18addfb121153bc2c3.rtf	1	2026-01-02 00:00:00+02
