court_code	name	instance_code	region_code
1807	"Конотопський міськрайонний суд Сумської області"	3	18
1808	"Краснопільський районний суд Сумської області"	3	18
1809	"Кролевецький районний суд Сумської області"	3	18
1811	"Липоводолинський районний суд Сумської області"	3	18
1812	"Недригайлівський районний суд Сумської області"	3	18
1814	"Путивльський районний суд Сумської області"	3	18
1817	"Сумський районний суд Сумської області"	3	18
1818	"Тростянецький районний суд Сумської області"	3	18
1820	"Ямпільський районний суд Сумської області"	3	18
1870	"Сумський окружний адміністративний суд "	3	18
1901	"Бережанський районний суд Тернопільської області"	3	19
1902	"Борщівський районний суд Тернопільської області"	3	19
1906	"Збаразький районний суд Тернопільської області"	3	19
1909	"Кременецький районний суд Тернопільської області"	3	19
1912	"Підволочиський районний суд Тернопільської області"	3	19
1915	"Тернопільський міськрайонний суд Тернопільської області"	3	19
1970	"Тернопільський окружний адміністративний суд "	3	19
2002	"Барвінківський районний суд Харківської області"	3	20
0101	"Алуштинський міський суд Автономної Республіки Крим"	3	01
0105	"Джанкойський міськрайонний суд Автономної Республіки Крим"	3	01
0106	"Євпаторійський міський суд Автономної Республіки Крим"	3	01
0108	"Керченський міський суд Автономної Республіки Крим"	3	01
0114	"Нижньогірський районний суд Автономної Республіки Крим"	3	01
0117	"Сакський міськрайонний суд Автономної Республіки Крим"	3	01
0119	"Совєтський районний суд Автономної Республіки Крим"	3	01
0120	"Судацький міський суд Автономної Республіки Крим"	3	01
0122	"Центральний районний суд м. Сімферополя"	3	01
0170	"Окружний адміністративний суд Автономної Республіки Крим "	3	01
0190	"Апеляційний суд Автономної Республіки Крим"	2	01
0191	"Апеляційний суд Автономної Республіки Крим (м. Феодосія)"	2	01
0202	"Бершадський районний суд Вінницької області"	3	02
0204	"Гайсинський районний суд Вінницької області"	3	02
0207	"Іллінецький районний суд Вінницької області"	3	02
0209	"Козятинський міськрайонний суд Вінницької області"	3	02
0210	"Крижопільський районний суд Вінницької області"	3	02
0215	"Могилів-Подільський міськрайонний суд Вінницької області"	3	02
0219	"Піщанський районний суд Вінницької області"	3	02
0221	"Староміський районний суд м. Вінниці"	3	02
