"№ з/п","Повне найменування","Код суб'єкта управління","Назва суб'єкта управління","Організаційна форма cуб'єкта господарювання (зокрема державні підприємства - ДП, господарські товариства з КПД >50% - ГТ)"
"1","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АРХІТЕКТУРНО-БУДІВЕЛЬНИЙ ІНЖИНІРИНГ""","0100505","ВІННИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"2","ДЕРЖАВНА ОРГАНІЗАЦІЯ ""СЛУЖБА МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ВІННИЦЬКІЙ ОБЛАСТІ""","0100505","ВІННИЦЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"3","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЛУЖБА МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ У ВОЛИНСЬКІЙ ОБЛАСТІ""","0100507","ВОЛИНСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"4","ДЕРЖАВНЕ ПРОМИСЛОВЕ ПІДПРИЄМСТВО ""КРИВБАСПРОМВОДОПОСТАЧАННЯ""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"5","ДЕРЖАВНЕ МІЖРАЙОННЕ ПІДПРИЄМСТВО ВОДОПРОВІДНО-КАНАЛІЗАЦІЙНОГО ГОСПОДАРСТВА ""ДНІПРО-ЗАХІДНИЙ ДОНБАС""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"6","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДНІПРОПЕТРОВСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ПО ВИПРОБУВАННЮ БУДІВЕЛЬНИХ МАТЕРІАЛІВ""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"7","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УПРАВЛІННЯ СОФІЇВСЬКОГО ГРУПОВОГО ВОДОПРОВОДУ""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"8","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЖИЛКОМ""","0100512","ДНІПРОПЕТРОВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"9","ДЕРЖАВНА ОРГАНІЗАЦІЯ ""СЛУЖБА МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ ТА РОЗВИТКУ ІНФРАСТРУКТУРИ У ЗАКАРПАТСЬКІЙ ОБЛАСТІ""","0100521","ЗАКАРПАТСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"10","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МІСЦЕВІ ДОРОГИ ЗАПОРІЗЬКОЇ ОБЛАСТІ""","0100523","ЗАПОРІЗЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"11","ДЕРЖАВНА ОРГАНІЗАЦІЯ ""ДОРОГИ ПРИКАРПАТТЯ""","0100526","ІВАНО-ФРАНКІВСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
"12","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АГЕНТСТВО МІСЦЕВИХ АВТОМОБІЛЬНИХ ДОРІГ""","0100535","КІРОВОГРАДСЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ","ДП"
